PoS-word	#labels	#instances	most common label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#	label	#
NNP-garage	1	1	group	1																				
NNP-ihop	1	1	group	1																				
NNP-amelia	1	1	group	1																				
NNP-hyatt	1	1	group	1																				
NNS-cafes	1	1	group	1																				
NNP-chipotle	1	1	group	1																				
NNP-compact	1	1	group	1																				
NN-convenience	1	1	group	1																				
NNPS-scots	1	1	group	1																				
NNP-supercuts	1	1	group	1																				
NNP-caldwell	1	1	group	1																				
NNP-visakha	1	1	group	1																				
NNS-locals	1	1	group	1																				
GW-a	1	1	group	1																				
NNP-alta	1	1	group	1																				
NNP-spears	1	1	group	1																				
NNP-burger	1	1	group	1																				
NNS-laundromats	1	1	group	1																				
NNS-angels	1	1	group	1																				
NNP-cranmore	1	1	group	1																				
NN-society	1	1	group	1																				
NNP-mother	1	1	group	1																				
NNP-panera	1	1	group	1																				
NNP-gm	1	1	group	1																				
NNP-best	1	1	group	1																				
NNP-hobbs	1	1	group	1																				
NNPS-days	1	1	group	1																				
NNP-prominent	1	1	group	1																				
NNP-law	1	1	group	1																				
NNS-establishments	1	1	group	1																				
NNP-srd	1	1	group	1																				
NNP-fountain	1	1	group	1																				
NN-gallery	1	1	group	1																				
NNP-staten	1	1	group	1																				
NNPS-starbucks	1	1	group	1																				
NNP-providence	1	1	group	1																				
NNP-tomipilates	1	1	group	1																				
NNP-garment	1	1	group	1																				
NNS-barbershops	1	1	group	1																				
NNP-jamaica	1	1	group	1																				
NNP-taj	1	1	group	1																				
NNS-makers	1	1	group	1																				
NNP-yelp	1	1	group	1																				
NNP-cycle	1	1	group	1																				
NNP-vetri	1	1	group	1																				
NN-biz	1	1	group	1																				
NNP-sharayu	1	1	group	1																				
NNS-residents	1	1	group	1																				
NNP-hancocks	1	1	group	1																				
NNS-bakeries	1	1	group	1																				
NN-fitness	1	1	group	1																				
NNP-willow	1	1	group	1																				
NNP-adorn	1	1	group	1																				
NNP-qualitech	1	1	group	1																				
NNP-lucky	1	1	group	1																				
NNP-run	1	1	group	1																				
NNS-compan's	1	1	group	1																				
NNP-rutgers	1	1	group	1																				
NNP-barton	1	1	group	1																				
NN-audience	1	1	group	1																				
NNP-burch	1	1	group	1																				
NNP-noonan	1	1	group	1																				
NNP-bu	1	1	group	1																				
NNP-bascom	1	1	group	1																				
NNP-qt	1	1	group	1																				
NNP-vigor	1	1	group	1																				
NN-grocer	1	1	group	1																				
NNP-luxe	1	1	group	1																				
NNP-ruth	1	1	group	1																				
NNS-helpers	1	1	group	1																				
NNP-kc	1	1	group	1																				
NNS-theatres	1	1	group	1																				
NN-cater	1	1	group	1																				
NNP-buckingham	1	1	group	1																				
NNP-peking	1	1	group	1																				
NNP-dillards	1	1	group	1																				
NNP-kobey	1	1	group	1																				
NNP-team	1	1	group	1																				
NNP-geno	1	1	group	1																				
NNP-u	1	1	group	1																				
CC-and	1	1	group	1																				
NNP-winterowd	1	1	group	1																				
NNP-tgif	1	1	group	1																				
NNS-investors	1	1	group	1																				
NNP-mazda	1	1	group	1																				
NNP-hoa	1	1	group	1																				
NNP-sussman	1	1	group	1																				
NNP-hom	1	1	group	1																				
NN-zoo	1	1	group	1																				
NNP-karol	1	1	group	1																				
NNP-kliotech	1	1	group	1																				
NNP-carnegie	1	1	group	1																				
NNP-kwik	1	1	group	1																				
NNP-first	1	1	group	1																				
NNP-barry	1	1	group	1																				
NN-co.	1	1	group	1																				
NNP-cafe	1	1	group	1																				
NNP-wedding	1	1	group	1																				
NNP-town	1	1	group	1																				
NNP-salmagundi	1	1	group	1																				
NN-staffs	1	1	group	1																				
NNP-instep	1	1	group	1																				
NNP-stainless	1	1	group	1																				
JJ-local	1	1	group	1																				
NNP-jack	1	1	group	1																				
NNP-us	1	1	group	1																				
NNP-u.	1	1	group	1																				
NNP-ichiban	1	1	group	1																				
NNP-nordstrom	1	1	group	1																				
NNP-bridies	1	1	group	1																				
NN-petting	1	1	group	1																				
NN-cinema	1	1	group	1																				
NNP-saucey	1	1	group	1																				
NNP-adelphi	1	1	group	1																				
NNP-professional	1	1	group	1																				
NNP-in	1	1	group	1																				
NNP-bisconti	1	1	group	1																				
NNP-flagship	1	1	group	1																				
NNP-westfield	1	1	group	1																				
VB-spill	1	1	group	1																				
NNP-duke	1	1	group	1																				
NNP-dartmouth	1	1	group	1																				
NNS-programs	1	1	group	1																				
NN-lube	1	1	group	1																				
NNP-award	1	1	group	1																				
NNS-salons	1	1	group	1																				
NNP-bislas	1	1	group	1																				
NNP-clark	1	1	group	1																				
NNP-patio	1	1	group	1																				
NNP-r&l	1	1	group	1																				
NNP-madrid	1	1	group	1																				
NNP-bath	1	1	group	1																				
NNP-trio	1	1	group	1																				
NNP-hilton	1	1	group	1																				
NNP-pma	1	1	group	1																				
NNPS-knights	1	1	group	1																				
NNP-wildernest	1	1	group	1																				
NNP-giovanni	1	1	group	1																				
NNP-ikea	1	1	group	1																				
NNPS-kids	1	1	group	1																				
JJ-small	1	1	group	1																				
NNP-malcolm	1	1	group	1																				
NNP-japaneiro	1	1	group	1																				
NNP-directv	1	1	group	1																				
NNS-boutiques	1	1	group	1																				
NNP-crust	1	1	group	1																				
NNP-bk	1	1	group	1																				
NNP-ashdown	1	1	group	1																				
NNP-noble	1	1	group	1																				
NNP-ncfa	1	1	group	1																				
NN-companie	1	1	group	1																				
NNPS-phillies	1	1	group	1																				
NNP-shree	1	1	group	1																				
NNP-tussey	1	1	group	1																				
NNP-restaurant	1	1	group	1																				
NNP-dumb	1	1	group	1																				
NNP-inford	1	1	group	1																				
NN-ensemble	1	1	group	1																				
NN-rug	1	1	group	1																				
NNP-juno	1	1	group	1																				
NNP-braman	1	1	group	1																				
NN-bulwark	1	1	group	1																				
NNP-birdies	1	1	group	1																				
NNP-hollister	1	1	group	1																				
NN-familia	1	1	group	1																				
NNP-irs	1	1	group	1																				
NNP-bonanza	1	1	group	1																				
NNP-nw	1	1	group	1																				
NNP-sheraton	1	1	group	1																				
NNP-marriott	1	1	group	1																				
NNP-comcast	1	1	group	1																				
NNP-sprecher	1	1	group	1																				
NN-herd	1	1	group	1																				
NNP-console	1	1	group	1																				
NN-bakery	1	1	group	1																				
NNP-william	1	1	group	1																				
NNP-pjc	1	1	group	1																				
NNP-vingas	1	1	group	1																				
NNP-kumon	1	1	group	1																				
NNP-midtown	1	1	group	1																				
NN-craft	1	1	group	1																				
NNP-olive	1	1	group	1																				
NNP-wunderbar	1	1	group	1																				
NNP-fran	1	1	group	1																				
NNP-advanced	1	1	group	1																				
NNP-whole	1	1	group	1																				
NNP-super	1	1	group	1																				
NNP-jiffy	1	1	group	1																				
NNS-firms	1	1	group	1																				
NNP-franklin	1	1	group	1																				
NNP-l'espalier	1	1	group	1																				
NNP-fidelity	1	1	group	1																				
NNP-bonafide	1	1	group	1																				
NNP-prestige	1	1	group	1																				
NNP-walgreens	1	1	group	1																				
NNP-mi	1	1	group	1																				
NNP-national	1	1	group	1																				
NNP-cinema	1	1	group	1																				
NNP-wessex	1	1	group	1																				
NNP-flying	1	1	group	1																				
NNP-b&b	1	1	group	1																				
NNP-leon	1	1	group	1																				
NN-hood	1	1	group	1																				
NNP-ipanema	1	1	group	1																				
NNS-staffs	1	1	group	1																				
NNP-liberty	1	1	group	1																				
NNP-purple	1	1	group	1																				
NN-security	1	1	group	1																				
RB-just	1	1	group	1																				
NNS-parties	1	1	group	1																				
NNP-aztec	1	1	group	1																				
NNS-waiters	1	1	group	1																				
NNP-elite	1	1	group	1																				
NN-multiplex	1	1	group	1																				
NNP-bistro	1	1	group	1																				
NNP-twelve	1	1	group	1																				
NN-steakhouse	1	1	group	1																				
NNP-le	1	1	group	1																				
NNP-trader	1	1	group	1																				
NNP-atlantic	1	1	group	1																				
